Instrument Name,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Awg Type,Inner
DUT Input Source,CH2
DUT Output Source1,CH1
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Linear
Start Frequency,10Hz
Stop Frequency,30000010Hz
Sweep Line,50
Sweep Log(dec),40
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-2.3dB,1.7dB
Phase Unit,Degree
Phase Axis Range,-190Deg,170Deg
Bode Data
Number of Points,50
Frequency(Hz),CH1 Amplitude(dB),CH1 Phase(Deg)
10,0.00386992106,-0.374725348
612254.898,-0.129284474,-7.51709193
1224499.8,-0.205658106,-14.6268715
1836744.69,-0.261470293,-21.5458687
2448989.59,-0.306386441,-28.3545834
3061234.49,-0.354632469,-35.097934
3673479.39,-0.385771614,-41.8166859
4285724.29,-0.403337972,-48.4878915
4897969.18,-0.425428634,-55.1607069
5510214.08,-0.433705102,-61.8376622
6122458.98,-0.443585229,-68.5026814
6734703.88,-0.451400753,-75.163312
7346948.78,-0.442984187,-81.8572337
7959193.67,-0.435739568,-88.573321
8571438.57,-0.42409822,-95.3048923
9183683.47,-0.410564448,-102.075943
9795928.37,-0.40337382,-108.84011
10408173.3,-0.394609539,-115.647456
11020418.2,-0.370156568,-122.442492
11632663.1,-0.366826304,-129.288849
12244908,-0.355793963,-136.204604
12857152.9,-0.35670089,-143.075993
13469397.8,-0.353623685,-149.958366
14081642.7,-0.352611724,-156.868328
14693887.6,-0.359155404,-163.740801
15306132.4,-0.361619542,-170.658224
15918377.3,-0.372752165,-177.518005
16530622.2,-0.394448478,175.599727
17142867.1,-0.400376219,168.75936
17755112,-0.403466102,161.931359
18367356.9,-0.425709154,155.094617
18979601.8,-0.434461601,148.283868
19591846.7,-0.456058474,141.475079
20204091.6,-0.46794683,134.700428
20816336.5,-0.477882332,127.871402
21428581.4,-0.493771631,121.15264
22040826.3,-0.497284506,114.32025
22653071.2,-0.522780191,107.581327
23265316.1,-0.516047486,100.784764
23877561,-0.533523695,94.0874374
24489805.9,-0.546543308,87.2496877
25102050.8,-0.552896825,80.5338131
25714295.7,-0.564121195,73.75848
26326540.6,-0.564948959,66.9345577
26938785.5,-0.574121147,60.2137435
27551030.4,-0.568779551,53.4309367
28163275.3,-0.573209261,46.6907723
28775520.2,-0.569022139,39.9129368
29387765.1,-0.560572298,33.1688264
30000010,-0.565548303,26.2952967
