Record Length,Analog:10000
Sample Interval,CH1:5.000000E-10
Vertical Units,CH1:V
Vertical Scale,CH1:+2.950000E-01
Vertical Offset,CH1:+0.000000E+00
Horizontal Units,s
Horizontal Scale,+5.000000E-07
Model Number,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Source,CH1
Second,Value
-2.500000E-06,-1.966667E-02
-2.499500E-06,-4.916666E-02
-2.499000E-06,-5.900000E-02
-2.498500E-06,-9.833333E-02
-2.498000E-06,-1.081667E-01
-2.497500E-06,-1.376667E-01
-2.497000E-06,-1.475000E-01
-2.496500E-06,-1.770000E-01
-2.496000E-06,-1.868333E-01
-2.495500E-06,-2.261667E-01
-2.495000E-06,-2.360000E-01
-2.494500E-06,-2.556667E-01
-2.494000E-06,-2.655000E-01
-2.493500E-06,-2.950000E-01
-2.493000E-06,-3.048333E-01
-2.492500E-06,-3.245000E-01
-2.492000E-06,-3.343333E-01
-2.491500E-06,-3.540000E-01
-2.491000E-06,-3.638333E-01
-2.490500E-06,-3.835000E-01
-2.490000E-06,-3.933333E-01
-2.489500E-06,-4.130000E-01
-2.489000E-06,-4.228333E-01
-2.488500E-06,-4.326667E-01
-2.488000E-06,-4.425000E-01
-2.487500E-06,-4.523333E-01
-2.487000E-06,-4.621667E-01
-2.486500E-06,-4.720000E-01
-2.486000E-06,-4.818333E-01
-2.485500E-06,-4.916666E-01
-2.485000E-06,-5.015000E-01
-2.484500E-06,-5.113333E-01
-2.484000E-06,-5.113333E-01
-2.483500E-06,-5.211667E-01
-2.483000E-06,-5.211667E-01
-2.482500E-06,-5.310000E-01
-2.482000E-06,-5.310000E-01
-2.481500E-06,-5.408333E-01
-2.481000E-06,-5.506666E-01
-2.480500E-06,-5.605000E-01
-2.480000E-06,-5.506666E-01
-2.479500E-06,-5.703333E-01
-2.479000E-06,-5.605000E-01
-2.478500E-06,-5.801666E-01
-2.478000E-06,-5.703333E-01
-2.477500E-06,-5.801666E-01
-2.477000E-06,-5.801666E-01
-2.476500E-06,-5.900000E-01
-2.476000E-06,-5.900000E-01
-2.475500E-06,-5.998333E-01
-2.475000E-06,-5.998333E-01
-2.474500E-06,-6.096666E-01
-2.474000E-06,-5.998333E-01
-2.473500E-06,-6.195000E-01
-2.473000E-06,-6.195000E-01
-2.472500E-06,-6.195000E-01
-2.472000E-06,-6.195000E-01
-2.471500E-06,-6.293333E-01
-2.471000E-06,-6.391667E-01
-2.470500E-06,-6.391667E-01
-2.470000E-06,-6.391667E-01
-2.469500E-06,-6.391667E-01
-2.469000E-06,-6.391667E-01
-2.468500E-06,-6.490000E-01
-2.468000E-06,-6.490000E-01
-2.467500E-06,-6.588333E-01
-2.467000E-06,-6.490000E-01
-2.466500E-06,-6.588333E-01
-2.466000E-06,-6.588333E-01
-2.465500E-06,-6.686667E-01
-2.465000E-06,-6.588333E-01
-2.464500E-06,-6.686667E-01
-2.464000E-06,-6.588333E-01
-2.463500E-06,-6.785000E-01
