Instrument Name,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Awg Type,Inner
DUT Input Source,CH2
DUT Output Source1,CH1
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,1000000Hz
Stop Frequency,50000000Hz
Sweep Line,50
Sweep Log(dec),40
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-11.5dB,28.5dB
Phase Unit,Degree
Phase Axis Range,-190Deg,170Deg
Bode Data
Number of Points,69
Frequency(Hz),CH1 Amplitude(dB),CH1 Phase(Deg)
1000000,0.158418226,-0.0931915266
1059253.73,0.180989842,-0.116338598
1122018.45,0.199210766,-0.123304221
1188502.23,0.230183266,-0.131488148
1258925.41,0.272457511,-0.143171697
1333521.43,0.305070325,-0.15596288
1412537.54,0.340249165,-0.179968186
1496235.66,0.379643469,-0.186835537
1584893.19,0.438152041,-0.212816349
1678804.02,0.501649371,-0.248954299
1778279.41,0.556676796,-0.274044313
1883649.09,0.636651181,-0.303547368
1995262.31,0.713836444,-0.336827831
2113489.04,0.811217933,-0.370279797
2238721.14,0.902429319,-0.412019689
2371373.71,1.02707495,-0.460875142
2511886.43,1.16501076,-0.515081002
2660725.06,1.31840993,-0.566118951
2818382.93,1.48030917,-0.63115463
2985382.62,1.6830555,-0.692440832
3162277.66,1.90520032,-0.773704067
3349654.39,2.163627,-0.860504306
3548133.89,2.46068779,-0.975507733
3758374.04,2.79526179,-1.10720203
3981071.71,3.18324851,-1.25910367
4216965.03,3.62632445,-1.41763828
4466835.92,4.16163202,-1.63017264
4731512.59,4.80240739,-1.92867372
5011872.34,5.53661947,-2.26317138
5308844.44,6.43039034,-2.65833869
5623413.25,7.52882441,-3.2343181
5956621.44,8.89626587,-4.04877136
6309573.44,10.6937625,-5.29911504
6683439.18,13.1434764,-7.46784137
7079457.84,16.9030592,-12.2287606
7498942.09,23.8741862,-29.4202219
7943282.35,26.4092253,-135.723283
8413951.42,17.4202756,-164.823456
8912509.38,12.710641,-171.304122
9440608.76,9.52349009,-173.900823
10000000,7.15012889,-175.395439
10592537.3,5.27318342,-176.348451
11220184.5,3.75501716,-177.065455
11885022.3,2.50016664,-177.635818
12589254.1,1.48644506,-178.109069
13335214.3,0.707939688,-178.589083
14125375.4,0.129013346,-178.997644
14962356.6,-0.221444114,-179.436088
15848931.9,-0.33103144,-179.914285
16788040.2,-0.147345503,179.529541
17782794.1,0.397320499,178.827985
18836490.9,1.42757864,177.86106
19952623.1,3.16130386,176.354657
21134890.4,6.12933271,173.514169
22387211.4,11.9311181,164.823793
23713737.1,21.5888435,63.7987647
25118864.3,9.16077768,12.7741345
26607250.6,3.8652251,6.61423354
28183829.3,0.900206019,4.00643134
29853826.2,-0.731056199,2.26052017
31622776.6,-1.28680032,0.699892818
33496543.9,-0.71691502,-1.22241259
35481338.9,1.48900571,-4.36997706
37583740.4,7.11887424,-13.5041245
39810717.1,15.2816895,-129.775031
42169650.3,3.03735762,-168.336616
44668359.2,-1.48138952,-174.161393
47315125.9,-3.02229371,-177.528369
50000000,-2.17969289,178.816158
