frequency[Hz],volt_output[V]
10.0,0.62
100000.0,0.62
500000.0,1.0
1000000.0,1.0
2000000.0,0.98
3000000.0,0.97
4000000.0,0.96
5000000.0,0.96
6000000.0,0.97
7000000.0,0.99
8000000.0,1.01
9000000.0,1.04
10000000.0,1.04
11000000.0,1.04
12000000.0,1.0
13000000.0,0.96
14000000.0,0.91
15000000.0,0.88
17000000.0,0.87
20000000.0,0.94
22000000.0,1.05
23000000.0,1.07
24000000.0,1.05
25000000.0,0.99
26000000.0,0.93
27000000.0,0.89
28000000.0,0.83
29000000.0,0.815
30000000.0,0.8
31000000.0,0.82
32000000.0,0.86
33000000.0,0.91
34000000.0,0.95
35000000.0,0.95
36000000.0,1.01
37000000.0,0.95
38000000.0,0.95
39000000.0,0.9
40000000.0,0.87
41000000.0,0.85
42000000.0,0.83
43000000.0,0.84
44000000.0,0.84
45000000.0,0.86
46000000.0,0.88
47000000.0,0.89
48000000.0,0.89
49000000.0,0.88
50000000.0,0.86
100000000.0,0.75
