frequency_Hz,tf
500000.0,(0.9997066336480602-0.02041620398708794j)
501000.0,(0.9997054602515518-0.020457019789390282j)
502000.0,(0.9997042845125258-0.020497835492186457j)
503000.0,(0.9997031064309931-0.020538651095278117j)
504000.0,(0.9997019260069655-0.020579466598466916j)
505000.0,(0.9997007432404547-0.02062028200155455j)
506000.0,(0.999699558131472-0.02066109730434267j)
507000.0,(0.9996983706800292-0.020701912506632954j)
508000.0,(0.9996971808861381-0.02074272760822709j)
509000.0,(0.9996959887498101-0.020783542608926734j)
510000.0,(0.9996947942710576-0.020824357508533592j)
511000.0,(0.9996935974498915-0.020865172306849332j)
512000.0,(0.999692398286324-0.020905987003675623j)
513000.0,(0.9996911967803669-0.020946801598814173j)
514000.0,(0.9996899929320316-0.020987616092066647j)
515000.0,(0.9996887867413305-0.02102843048323475j)
516000.0,(0.9996875782082751-0.02106924477212017j)
517000.0,(0.9996863673328777-0.021110058958524604j)
518000.0,(0.9996851541151495-0.021150873042249708j)
519000.0,(0.9996839385551026-0.02119168702309721j)
520000.0,(0.9996827206527497-0.0212325009008688j)
521000.0,(0.9996815004081018-0.021273314675366185j)
522000.0,(0.9996802778211714-0.021314128346391042j)
523000.0,(0.9996790528919705-0.021354941913745096j)
524000.0,(0.999677825620511-0.021395755377230038j)
525000.0,(0.999676596006805-0.021436568736647583j)
526000.0,(0.9996753640508647-0.021477381991799428j)
527000.0,(0.9996741297527021-0.021518195142487276j)
528000.0,(0.9996728931123291-0.021559008188512845j)
529000.0,(0.9996716541297584-0.021599821129677867j)
530000.0,(0.9996704128050017-0.02164063396578403j)
531000.0,(0.9996691691380714-0.021681446696633057j)
532000.0,(0.9996679231289796-0.02172225932202665j)
533000.0,(0.9996666747777389-0.021763071841766568j)
534000.0,(0.999665424084361-0.021803884255654497j)
535000.0,(0.9996641710488586-0.021844696563492177j)
536000.0,(0.9996629156712439-0.021885508765081326j)
537000.0,(0.9996616579515292-0.021926320860223673j)
538000.0,(0.9996603978897269-0.021967132848720948j)
539000.0,(0.9996591354858493-0.022007944730374877j)
540000.0,(0.9996578707399092-0.022048756504987204j)
541000.0,(0.9996566036519183-0.022089568172359637j)
542000.0,(0.9996553342218896-0.02213037973229393j)
543000.0,(0.9996540624498355-0.022171191184591817j)
544000.0,(0.9996527883357685-0.022212002529055048j)
545000.0,(0.9996515118797009-0.02225281376548536j)
546000.0,(0.9996502330816456-0.02229362489368448j)
547000.0,(0.9996489519416147-0.02233443591345416j)
548000.0,(0.9996476684596214-0.022375246824596167j)
549000.0,(0.9996463826356776-0.022416057626912216j)
550000.0,(0.9996450944697967-0.02245686832020409j)
551000.0,(0.9996438039619907-0.022497678904273507j)
552000.0,(0.9996425111122725-0.022538489378922246j)
553000.0,(0.9996412159206548-0.02257929974395206j)
554000.0,(0.9996399183871504-0.022620109999164695j)
555000.0,(0.9996386185117723-0.02266092014436193j)
556000.0,(0.9996373162945325-0.022701730179345504j)
557000.0,(0.9996360117354448-0.022742540103917203j)
558000.0,(0.9996347048345211-0.022783349917878774j)
559000.0,(0.9996333955917749-0.022824159621031983j)
560000.0,(0.9996320840072189-0.02286496921317862j)
561000.0,(0.9996307700808659-0.022905778694120436j)
562000.0,(0.9996294538127285-0.0229465880636592j)
563000.0,(0.9996281352028203-0.022987397321596718j)
564000.0,(0.9996268142511537-0.02302820646773473j)
565000.0,(0.999625490957742-0.023069015501875033j)
566000.0,(0.9996241653225978-0.023109824423819394j)
567000.0,(0.9996228373457349-0.023150633233369626j)
568000.0,(0.9996215070271652-0.023191441930327465j)
569000.0,(0.999620174366903-0.023232250514494738j)
570000.0,(0.999618839364961-0.02327305898567323j)
571000.0,(0.9996175020213515-0.02331386734366471j)
572000.0,(0.9996161623360887-0.02335467558827098j)
573000.0,(0.9996148203091851-0.02339548371929382j)
574000.0,(0.9996134759406544-0.023436291736535057j)
575000.0,(0.9996121292305093-0.023477099639796453j)
576000.0,(0.9996107801787635-0.023517907428879836j)
577000.0,(0.99960942878543-0.023558715103587j)
578000.0,(0.9996080750505218-0.023599522663719726j)
579000.0,(0.9996067189740531-0.02364033010907986j)
580000.0,(0.9996053605560361-0.023681137439469164j)
581000.0,(0.999603999796485-0.02372194465468948j)
582000.0,(0.9996026366954125-0.0237627517545426j)
583000.0,(0.9996012712528329-0.02380355873883037j)
584000.0,(0.9995999034687587-0.023844365607354562j)
585000.0,(0.9995985333432037-0.023885172359917016j)
586000.0,(0.9995971608761816-0.02392597899631954j)
587000.0,(0.9995957860677055-0.023966785516363973j)
588000.0,(0.9995944089177888-0.024007591919852106j)
589000.0,(0.9995930294264459-0.024048398206585806j)
590000.0,(0.9995916475936893-0.024089204376366864j)
591000.0,(0.999590263419533-0.024130010428997123j)
592000.0,(0.999588876903991-0.024170816364278425j)
593000.0,(0.9995874880470762-0.024211622182012577j)
594000.0,(0.9995860968488026-0.02425242788200143j)
595000.0,(0.9995847033091838-0.024293233464046816j)
596000.0,(0.9995833074282339-0.02433403892795059j)
597000.0,(0.999581909205966-0.024374844273514565j)
598000.0,(0.9995805086423942-0.024415649500540603j)
599000.0,(0.9995791057375323-0.024456454608830554j)
600000.0,(0.9995777004913935-0.024497259598186234j)
601000.0,(0.9995762929039925-0.024538064468409528j)
602000.0,(0.9995748829753426-0.024578869219302257j)
603000.0,(0.9995734707054574-0.024619673850666293j)
604000.0,(0.9995720560943515-0.024660478362303485j)
605000.0,(0.9995706391420383-0.02470128275401569j)
606000.0,(0.999569219848532-0.02474208702560478j)
607000.0,(0.999567798213846-0.02478289117687259j)
608000.0,(0.9995663742379947-0.02482369520762098j)
609000.0,(0.9995649479209923-0.024864499117651855j)
610000.0,(0.9995635192628526-0.024905302906767058j)
611000.0,(0.9995620882635893-0.024946106574768454j)
612000.0,(0.999560654923217-0.02498691012145792j)
613000.0,(0.9995592192417492-0.02502771354663731j)
614000.0,(0.9995577812192006-0.025068516850108524j)
615000.0,(0.9995563408555848-0.025109320031673436j)
616000.0,(0.9995548981509165-0.025150123091133927j)
617000.0,(0.9995534531052092-0.025190926028291847j)
618000.0,(0.999552005718478-0.025231728842949136j)
619000.0,(0.9995505559907361-0.02527253153490763j)
620000.0,(0.9995491039219986-0.025313334103969243j)
621000.0,(0.9995476495122791-0.025354136549935853j)
622000.0,(0.9995461927615924-0.02539493887260935j)
623000.0,(0.9995447336699526-0.025435741071791643j)
624000.0,(0.999543272237374-0.025476543147284623j)
625000.0,(0.9995418084638712-0.025517345098890188j)
626000.0,(0.9995403423494582-0.025558146926410213j)
627000.0,(0.9995388738941495-0.025598948629646637j)
628000.0,(0.9995374030979597-0.025639750208401348j)
629000.0,(0.9995359299609032-0.025680551662476247j)
630000.0,(0.9995344544829944-0.02572135299167325j)
631000.0,(0.999532976664248-0.025762154195794272j)
632000.0,(0.9995314965046781-0.025802955274641215j)
633000.0,(0.9995300140042994-0.02584375622801599j)
634000.0,(0.9995285291631267-0.02588455705572055j)
635000.0,(0.9995270419811744-0.025925357757556756j)
636000.0,(0.9995255524584573-0.025966158333326578j)
637000.0,(0.9995240605949898-0.026006958782831924j)
638000.0,(0.9995225663907866-0.02604775910587472j)
639000.0,(0.9995210698458623-0.02608855930225688j)
640000.0,(0.9995195709602321-0.026129359371780358j)
641000.0,(0.9995180697339099-0.026170159314247057j)
642000.0,(0.999516566166911-0.026210959129458936j)
643000.0,(0.9995150602592501-0.026251758817217925j)
644000.0,(0.9995135520109419-0.026292558377325952j)
