frequency[Hz],volt_output[V]
10,0.62
100000,0.62
500000,1
1000000,1
2000000,0.98
3000000,0.97
4000000,0.96
5000000,0.96
6000000,0.97
7000000,0.99
8000000,1.01
9000000,1.04
10000000,1.04
11000000,1.04
12000000,1
13000000,0.96
14000000,0.91
15000000,0.88
17000000,0.87
20000000,0.94
22000000,1.05
23000000,1.07
24000000,1.05
25000000,0.99
26000000,0.93
27000000,0.89
28000000,0.83
29000000,0.815
30000000,0.8
31000000,0.82
32000000,0.86
33000000,0.91
34000000,0.95
35000000,0.95
36000000,1.01
37000000,0.95
38000000,0.95
39000000,0.9
40000000,0.87
41000000,0.85
42000000,0.83
43000000,0.84
44000000,0.84
45000000,0.86
46000000,0.88
47000000,0.89
48000000,0.89
49000000,0.88
50000000,0.86
51000000,0.85
52000000,0.84
53000000,0.85
54000000,0.86
55000000,0.88
56000000,0.91
57000000,0.92
58000000,0.9
59000000,0.87
60000000,0.82
61000000,0.78
62000000,0.74
63000000,0.73
64000000,0.72
65000000,0.75
66000000,0.8
67000000,0.87
68000000,0.94
69000000,1
70000000,0.99
71000000,0.93
72000000,0.83
73000000,0.75
74000000,0.69
75000000,0.66
76000000,0.64
77000000,0.66
78000000,0.69
79000000,0.75
80000000,0.82
81000000,0.9
82000000,0.93
83000000,0.9
84000000,0.82
85000000,0.76
86000000,0.72
87000000,0.68
88000000,0.68
89000000,0.7
90000000,0.74
91000000,0.8
92000000,0.81
93000000,0.8
94000000,0.76
95000000,0.7
96000000,0.67
97000000,0.66
98000000,0.67
99000000,0.7
100000000,0.75
