Record Length,Analog:100000
Sample Interval,CH1:5.000000E-10
Vertical Units,CH1:V
Vertical Scale,CH1:+5.000000E-01
Vertical Offset,CH1:-9.666667E-01
Horizontal Units,s
Horizontal Scale,+5.000000E-06
Model Number,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Source,CH1
Second,Value
-2.500000E-05,-3.333336E-02
-2.499950E-05,-3.333336E-02
-2.499900E-05,-3.333336E-02
-2.499850E-05,-3.333336E-02
-2.499800E-05,-3.333336E-02
-2.499750E-05,-3.333336E-02
-2.499700E-05,-3.333336E-02
-2.499650E-05,-3.333336E-02
-2.499600E-05,-3.333336E-02
-2.499550E-05,-3.333336E-02
-2.499500E-05,-3.333336E-02
-2.499450E-05,-3.333336E-02
-2.499400E-05,-3.333336E-02
-2.499350E-05,-3.333336E-02
-2.499300E-05,-3.333336E-02
-2.499250E-05,-3.333336E-02
-2.499200E-05,-3.333336E-02
-2.499150E-05,-1.666677E-02
-2.499100E-05,-3.333336E-02
-2.499050E-05,-3.333336E-02
-2.499000E-05,-3.333336E-02
-2.498950E-05,-1.666677E-02
-2.498900E-05,-3.333336E-02
-2.498850E-05,-3.333336E-02
-2.498800E-05,-3.333336E-02
-2.498750E-05,-1.666677E-02
-2.498700E-05,-3.333336E-02
-2.498650E-05,-3.333336E-02
-2.498600E-05,-3.333336E-02
-2.498550E-05,-3.333336E-02
-2.498500E-05,-3.333336E-02
-2.498450E-05,-3.333336E-02
-2.498400E-05,-3.333336E-02
-2.498350E-05,-1.666677E-02
-2.498300E-05,-3.333336E-02
-2.498250E-05,-3.333336E-02
-2.498200E-05,-3.333336E-02
-2.498150E-05,-1.666677E-02
-2.498100E-05,-3.333336E-02
-2.498050E-05,-3.333336E-02
-2.498000E-05,-3.333336E-02
-2.497950E-05,-1.666677E-02
-2.497900E-05,-3.333336E-02
-2.497850E-05,-3.333336E-02
-2.497800E-05,-3.333336E-02
-2.497750E-05,-3.333336E-02
-2.497700E-05,-3.333336E-02
-2.497650E-05,-3.333336E-02
-2.497600E-05,-3.333336E-02
-2.497550E-05,-1.666677E-02
-2.497500E-05,-3.333336E-02
-2.497450E-05,-3.333336E-02
-2.497400E-05,-3.333336E-02
-2.497350E-05,-1.666677E-02
-2.497300E-05,-3.333336E-02
-2.497250E-05,-3.333336E-02
-2.497200E-05,-3.333336E-02
-2.497150E-05,-1.666677E-02
-2.497100E-05,-3.333336E-02
-2.497050E-05,-3.333336E-02
-2.497000E-05,-3.333336E-02
-2.496950E-05,-1.666677E-02
-2.496900E-05,-3.333336E-02
-2.496850E-05,-3.333336E-02
-2.496800E-05,-3.333336E-02
-2.496750E-05,-1.666677E-02
-2.496700E-05,-3.333336E-02
-2.496650E-05,-3.333336E-02
-2.496600E-05,-3.333336E-02
-2.496550E-05,-1.666677E-02
-2.496500E-05,-3.333336E-02
-2.496450E-05,-3.333336E-02
-2.496400E-05,-3.333336E-02
-2.496350E-05,-1.666677E-02
